_____________________________________________________________
| Handle| Monitor ID| Flags           | CTI  | Size | Address|
| #341  | 0         | 0000000000000001| 186  | 34   | 10552  |
| #342  | 0         | 0000000000000001| 186  | 27   | 10704  |
| #343  | 0         | 0000000000000001| 186  | 8    | 10828  |
| #344  | 0         | 0000000000000001| 186  | 8    | 10876  |
| #345  | 0         | 0000000000000001| 186  | 8    | 10924  |
| #346  | 0         | 0000000000000001| 186  | 25   | 10972  |
| #347  | 0         | 0000000000000001| 186  | 6    | 11088  |
| #348  | 0         | 0000000000000001| 186  | 17   | 11128  |
| #349  | 0         | 0000000000000001| 186  | 31   | 11212  |
| #350  | 0         | 0000000000000001| 186  | 17   | 11352  |
| #351  | 0         | 0000000000000001| 186  | 34   | 11436  |
| #352  | 0         | 0000000000000001| 186  | 22   | 11588  |
| #353  | 0         | 0000000000000001| 186  | 12   | 11692  |
| #354  | 0         | 0000000000000001| 186  | 11   | 11756  |
| #355  | 0         | 0000000000000001| 186  | 16   | 11816  |
| #356  | 0         | 0000000000000001| 186  | 15   | 11896  |
| #357  | 0         | 0000000000000001| 186  | 16   | 11972  |
| #358  | 0         | 0000000000000001| 186  | 28   | 12052  |
| #359  | 0         | 0000000000000001| 186  | 29   | 12180  |
| #360  | 0         | 0000000000000001| 186  | 27   | 12312  |
| #361  | 0         | 0000000000000001| 186  | 20   | 12436  |
| #362  | 0         | 0000000000000001| 186  | 23   | 12532  |
| #363  | 0         | 0000000000000001| 186  | 19   | 12640  |
| #364  | 0         | 0000000000000001| 186  | 27   | 12732  |
| #365  | 0         | 0000000000000001| 186  | 29   | 12856  |
| #366  | 0         | 0000000000000001| 186  | 8    | 12988  |
| #367  | 0         | 0000000000000001| 186  | 2    | 13036  |
| #368  | 0         | 0000000000000001| 186  | 13   | 13060  |
| #369  | 0         | 0000000000000001| 186  | 14   | 13128  |
| #370  | 0         | 0000000000000001| 186  | 18   | 13200  |
| #371  | 0         | 0000000000000001| 186  | 2    | 13288  |
| #372  | 0         | 0000000000000001| 186  | 2    | 13312  |
| #373  | 0         | 0000000000000001| 186  | 2    | 13336  |
| #374  | 0         | 0000000000000001| 186  | 2    | 13360  |
| #375  | 0         | 0000000000000001| 186  | 8    | 13384  |
| #376  | 0         | 0000000000000001| 186  | 2    | 13432  |
| #377  | 0         | 0000000000000001| 186  | 11   | 13456  |
| #378  | 0         | 0000000000000001| 186  | 30   | 13516  |
| #379  | 0         | 0000000000000001| 186  | 6    | 13652  |
| #380  | 0         | 0000000000000001| 186  | 11   | 13692  |
| #381  | 0         | 0000000000000001| 186  | 6    | 13752  |
| #382  | 0         | 0000000000000001| 186  | 5    | 13792  |
| #383  | 0         | 0000000000000001| 186  | 8    | 13828  |
| #384  | 0         | 0000000000000001| 186  | 5    | 13876  |
| #385  | 0         | 0000000000000001| 186  | 6    | 13912  |
| #386  | 0         | 0000000000000001| 186  | 27   | 13952  |
| #387  | 0         | 0000000000000001| 186  | 4    | 14076  |
| #388  | 0         | 0000000000000001| 186  | 53   | 14108  |
| #389  | 0         | 0000000000000001| 186  | 33   | 14336  |
| #390  | 0         | 0000000000000001| 186  | 6068 | 14484  |
| #391  | 0         | 0000000000000001| 186  | 15759| 38772  |
| #392  | 0         | 0000000000000001| 186  | 674  | 101824 |
| #393  | 0         | 0000000000000001| 186  | 750  | 104536 |
| #394  | 0         | 0000000000000001| 186  | 649  | 107552 |
| #395  | 0         | 0000000000000001| 186  | 579  | 110164 |
| #396  | 0         | 0000000000000001| 186  | 48   | 112496 |
| #397  | 0         | 0000000000000001| 186  | 443  | 112704 |
| #398  | 0         | 0000000000000001| 186  | 466  | 114492 |
| #399  | 0         | 0000000000000001| 186  | 9    | 116372 |
| #400  | 0         | 0000000000000001| 186  | 49   | 116424 |
| #401  | 0         | 0000000000000001| 186  | 42   | 116636 |
| #402  | 0         | 0000000000000001| 186  | 52   | 116820 |
| #403  | 0         | 0000000000000001| 186  | 38   | 117044 |
| #404  | 0         | 0000000000000001| 186  | 27   | 117212 |
| #405  | 0         | 0000000000000001| 186  | 17   | 117336 |
| #406  | 0         | 0000000000000001| 186  | 33   | 117420 |
| #407  | 0         | 0000000000000001| 186  | 6    | 117568 |
| #408  | 0         | 0000000000000001| 186  | 3    | 117608 |
| #409  | 0         | 0000000000000001| 186  | 21   | 117636 |
| #410  | 0         | 0000000000000001| 186  | 31   | 117736 |
| #411  | 0         | 0000000000000001| 186  | 27   | 117876 |
| #412  | 0         | 0000000000000001| 186  | 15   | 118000 |
| #413  | 0         | 0000000000000001| 186  | 53   | 118076 |
| #414  | 0         | 0000000000000001| 186  | 26   | 118304 |
| #415  | 0         | 0000000000000001| 186  | 2    | 118424 |
| #416  | 0         | 0000000000000001| 186  | 27   | 118448 |
| #417  | 0         | 0000000000000001| 186  | 23   | 118572 |
| #418  | 0         | 0000000000000001| 186  | 8    | 118680 |
| #419  | 0         | 0000000000000001| 186  | 9    | 118728 |
| #420  | 0         | 0000000000000001| 186  | 3    | 118780 |
| #421  | 0         | 0000000000000001| 186  | 1    | 118808 |
| #422  | 0         | 0000000000000001| 186  | 1    | 118828 |
| #423  | 0         | 0000000000000001| 186  | 2    | 118848 |
| #424  | 0         | 0000000000000001| 186  | 24   | 118872 |
| #425  | 0         | 0000000000000001| 186  | 8    | 118984 |
| #426  | 0         | 0000000000000001| 186  | 7    | 119032 |
| #427  | 0         | 0000000000000001| 186  | 16   | 119076 |
| #428  | 0         | 0000000000000001| 186  | 4    | 119156 |
| #429  | 0         | 0000000000000001| 186  | 4    | 119188 |
| #430  | 0         | 0000000000000001| 186  | 3    | 119220 |
| #431  | 0         | 0000000000000001| 186  | 1    | 119248 |
| #432  | 0         | 0000000000000001| 186  | 9    | 119268 |
| #433  | 0         | 0000000000000001| 186  | 19   | 119320 |
| #434  | 0         | 0000000000000001| 186  | 6    | 119412 |
| #435  | 0         | 0000000000000001| 186  | 6    | 119452 |
| #436  | 0         | 0000000000000001| 186  | 6    | 119492 |
| #437  | 0         | 0000000000000001| 186  | 6    | 119532 |
| #438  | 0         | 0000000000000001| 186  | 3    | 119572 |
| #439  | 0         | 0000000000000001| 186  | 16   | 119584 |
| #440  | 0         | 0000000000000001| 140  | 4    | 119648 |
| #441  | 0         | 0000000000000001| 160  | 2    | 119664 |
| #442  | 0         | 0000000000000001| 186  | 19   | 119672 |
| #443  | 0         | 0000000000000001| 140  | 4    | 119748 |
| #444  | 0         | 0000000000000001| 160  | 2    | 119764 |
| #445  | 0         | 0000000000000001| 186  | 19   | 119772 |
| #446  | 0         | 0000000000000001| 140  | 4    | 119848 |
